,visitor,home,dates,visitor_score,home_score
372,OKC,CHI,20181207,112,114
373,MEM,NOP,20181207,107,103
374,LAL,SAS,20181207,120,133
375,MIA,PHO,20181207,115,98
376,GSW,MIL,20181207,105,95
377,HOU,DAL,20181208,104,107
378,SAC,IND,20181208,97,107
379,DEN,ATL,20181208,98,106
380,WAS,CLE,20181208,101,116
381,BRK,NYK,20181208,112,104
382,BOS,CHI,20181208,133,77
383,LAL,MEM,20181208,111,88
384,MIN,POR,20181208,105,113
385,MIA,LAC,20181208,121,98
386,NOP,DET,20181209,116,108
387,MIL,TOR,20181209,104,99
388,UTA,SAS,20181209,97,110
389,CHO,NYK,20181209,119,107
390,WAS,IND,20181210,101,109
391,DET,PHI,20181210,102,116
392,NOP,BOS,20181210,100,113
393,SAC,CHI,20181210,108,89
394,CLE,MIL,20181210,92,108
395,UTA,OKC,20181210,113,122
396,ORL,DAL,20181210,76,101
397,MEM,DEN,20181210,99,105
398,LAC,PHO,20181210,123,119
399,MIN,GSW,20181210,108,116
400,MIA,LAL,20181210,105,108
401,POR,HOU,20181211,104,111
402,PHO,SAS,20181211,86,111
403,TOR,LAC,20181211,123,99
404,DET,CHO,20181212,107,108
405,NYK,CLE,20181212,106,113
406,MIL,IND,20181212,97,113
407,BRK,PHI,20181212,127,124
408,BOS,WAS,20181212,130,125
409,POR,MEM,20181212,83,92
410,OKC,NOP,20181212,114,118
411,ATL,DAL,20181212,107,114
412,MIA,UTA,20181212,84,111
413,MIN,SAC,20181212,130,141
414,TOR,GSW,20181212,113,93
415,LAL,HOU,20181213,111,126
416,LAC,SAS,20181213,87,125
417,CHI,ORL,20181213,91,97
418,DAL,PHO,20181213,89,99
419,ATL,BOS,20181214,108,129
420,NYK,CHO,20181214,126,124
421,WAS,BRK,20181214,118,125
422,MIL,CLE,20181214,114,102
423,IND,PHI,20181214,113,101
424,MIA,MEM,20181214,100,97
425,OKC,DEN,20181214,98,109
426,TOR,POR,20181214,122,128
427,GSW,SAC,20181214,130,125
428,UTA,ORL,20181215,89,96
429,LAL,CHO,20181215,128,100
430,BOS,DET,20181215,104,113
431,HOU,MEM,20181215,105,97
432,CHI,SAS,20181215,98,93
433,LAC,OKC,20181215,104,110
434,MIN,PHO,20181215,99,107
435,ATL,BRK,20181216,127,144
436,PHI,CLE,20181216,128,105
437,NYK,IND,20181216,99,110
438,LAL,WAS,20181216,110,128
439,SAC,DAL,20181216,120,113
440,MIA,NOP,20181216,102,96
441,TOR,DEN,20181216,86,95
442,MIL,DET,20181217,107,104
443,PHO,NYK,20181217,128,110
444,UTA,HOU,20181217,97,102
445,SAC,MIN,20181217,105,132
446,CHI,OKC,20181217,96,121
447,PHI,SAS,20181217,96,123
448,MEM,GSW,20181217,93,110
449,POR,LAC,20181217,131,127
450,CLE,IND,20181218,92,91
451,WAS,ATL,20181218,110,118
452,LAL,BRK,20181218,110,115
453,DAL,DEN,20181218,118,126
454,CLE,CHO,20181219,99,110
455,SAS,ORL,20181219,129,90
456,NYK,PHI,20181219,109,131
457,PHO,BOS,20181219,111,103
458,IND,TOR,20181219,96,99
459,BRK,CHI,20181219,96,93
460,WAS,HOU,20181219,118,136
461,NOP,MIL,20181219,115,123
462,DET,MIN,20181219,129,123
463,GSW,UTA,20181219,103,108
464,MEM,POR,20181219,92,99
465,OKC,SAC,20181219,132,113
466,HOU,MIA,20181220,99,101
467,DAL,LAC,20181220,121,125
468,DET,CHO,20181221,86,98
469,CLE,TOR,20181221,110,126
470,IND,BRK,20181221,114,106
471,ATL,NYK,20181221,114,107
472,MIL,BOS,20181221,120,107
473,ORL,CHI,20181221,80,90
474,MIN,SAS,20181221,98,124
475,UTA,POR,20181221,120,90
476,MEM,SAC,20181221,99,102
477,NOP,LAL,20181221,104,112
478,DEN,LAC,20181222,111,132
479,PHO,WAS,20181222,146,149
480,TOR,PHI,20181222,101,126
481,SAS,HOU,20181222,101,108
482,MIL,MIA,20181222,87,94
483,DAL,GSW,20181222,116,120
484,OKC,UTA,20181222,107,106
485,ATL,DET,20181223,98,95
486,WAS,IND,20181223,89,105
487,CHO,BOS,20181223,103,119
488,PHO,BRK,20181223,103,111
489,CHI,CLE,20181223,112,92
490,MIA,ORL,20181223,115,91
491,NOP,SAC,20181223,117,122
492,MIN,OKC,20181223,114,112
493,LAC,GSW,20181223,127,129
494,DAL,POR,20181223,118,121
495,MEM,LAL,20181223,107,99
496,MIL,NYK,20181225,109,95
497,OKC,HOU,20181225,109,113
498,PHI,BOS,20181225,114,121
499,LAL,GSW,20181225,127,101
500,POR,UTA,20181225,96,117
501,WAS,DET,20181226,95,106
502,PHO,ORL,20181226,122,120
503,IND,ATL,20181226,129,121
504,CHO,BRK,20181226,132,134
505,TOR,MIA,20181226,106,104
506,MIN,CHI,20181226,119,94
507,CLE,MEM,20181226,87,95
508,NOP,DAL,20181226,119,122
509,DEN,SAS,20181226,103,111
510,SAC,LAC,20181226,118,127
511,BOS,HOU,20181227,113,127
512,NYK,MIL,20181227,96,112
513,LAL,SAC,20181227,116,117
514,POR,GSW,20181227,110,109
515,PHI,UTA,20181227,114,97
516,BRK,CHO,20181228,87,100
517,DET,IND,20181228,88,125
518,TOR,ORL,20181228,87,116
519,CHI,WAS,20181228,101,92
520,CLE,MIA,20181228,94,118
521,ATL,MIN,20181228,123,120
522,DAL,NOP,20181228,112,114
523,SAS,DEN,20181228,99,102
524,OKC,PHO,20181228,118,102
525,LAC,LAL,20181228,118,107
526,BRK,MIL,20181229,115,129
527,HOU,NOP,20181229,108,104
528,CHO,WAS,20181229,126,130
529,CLE,ATL,20181229,108,111
530,BOS,MEM,20181229,112,103
531,NYK,UTA,20181229,97,129
532,DEN,PHO,20181229,122,118
533,GSW,POR,20181229,115,105
534,SAS,LAC,20181229,122,111
535,DET,ORL,20181230,107,109
536,MIN,MIA,20181230,113,104
537,CHI,TOR,20181230,89,95
538,OKC,DAL,20181230,103,105
539,PHI,POR,20181230,95,129
540,SAC,LAL,20181230,114,121
541,ATL,IND,20181231,108,116
542,ORL,CHO,20181231,100,125
543,MEM,HOU,20181231,101,113
544,BOS,SAS,20181231,111,120
545,MIN,NOP,20181231,114,123
546,DAL,OKC,20181231,102,122
547,GSW,PHO,20181231,132,109
548,UTA,TOR,20190101,116,122
549,DET,MIL,20190101,98,121
550,NYK,DEN,20190101,108,115
551,POR,SAC,20190101,113,108
552,PHI,LAC,20190101,119,113
553,DAL,CHO,20190102,122,84
554,MIA,CLE,20190102,117,92
555,ATL,WAS,20190102,98,114
556,NOP,BRK,20190102,121,126
557,MIN,BOS,20190102,102,115
558,ORL,CHI,20190102,112,84
559,DET,MEM,20190102,101,94
560,PHI,PHO,20190102,132,127
561,OKC,LAL,20190102,107,100
562,TOR,SAS,20190103,107,125
563,DEN,SAC,20190103,117,113
564,HOU,GSW,20190103,135,134
565,UTA,CLE,20190104,117,91
566,DAL,BOS,20190104,93,114
567,IND,CHI,20190104,119,116
568,BRK,MEM,20190104,109,100
569,WAS,MIA,20190104,109,115
570,ORL,MIN,20190104,103,120
571,ATL,MIL,20190104,112,144
572,LAC,PHO,20190104,121,111
573,NYK,LAL,20190104,119,112
574,OKC,POR,20190104,111,109
575,CHO,DEN,20190105,110,123
576,UTA,DET,20190105,110,105
577,DAL,PHI,20190105,100,106
578,NOP,CLE,20190105,133,98
579,TOR,MIL,20190105,123,116
580,MEM,SAS,20190105,88,108
581,HOU,POR,20190105,101,110
582,GSW,SAC,20190105,127,123
583,BRK,CHI,20190106,117,100
584,ORL,LAC,20190106,96,106
585,LAL,MIN,20190106,86,108
586,MIA,ATL,20190106,82,106
587,WAS,OKC,20190106,116,98
588,IND,TOR,20190106,105,121
589,CHO,PHO,20190106,119,113
590,SAS,DET,20190107,119,107
591,BRK,BOS,20190107,95,116
592,DEN,HOU,20190107,113,125
593,UTA,MIL,20190107,102,114
594,MEM,NOP,20190107,95,114
595,LAL,DAL,20190107,107,97
596,NYK,POR,20190107,101,111
597,ORL,SAC,20190107,95,111
598,IND,CLE,20190108,123,115
599,WAS,PHI,20190108,115,132
600,DEN,MIA,20190108,103,99
601,ATL,TOR,20190108,101,104
602,MIN,OKC,20190108,119,117
603,SAC,PHO,20190108,111,115
604,NYK,GSW,20190108,95,122
605,CHO,LAC,20190108,109,128
606,IND,BOS,20190109,108,135
607,PHI,WAS,20190109,106,123
608,ATL,BRK,20190109,100,116
609,MIL,HOU,20190109,116,109
610,SAS,MEM,20190109,86,96
611,CLE,NOP,20190109,124,140
612,PHO,DAL,20190109,94,104
613,ORL,UTA,20190109,93,106
614,CHI,POR,20190109,112,124
615,DET,LAL,20190109,100,113
616,BOS,MIA,20190110,99,115
617,LAC,DEN,20190110,100,121
618,OKC,SAS,20190110,147,154
619,DET,SAC,20190110,102,112
620,ATL,PHI,20190111,123,121
621,MIL,WAS,20190111,106,113
622,IND,NYK,20190111,121,106
623,BRK,TOR,20190111,105,122
