,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
850,Opponent/G,240.6,40.9,87.5,.468,10.0,27.6,.362,30.9,60.0,.516,16.4,21.2,.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2,ORL,2018
851,Lg,23,22,21,21,8,8,14,29,26,17,16,14,21,27,26,28,23,18,19,17,24,21,ORL,2018
852,Team,19780,3316,7307,.454,937,2633,.356,2379,4674,.509,1231,1575,.782,822,2902,3724,2095,543,445,1082,1526,8800,ORL,2019
853,Team/G,241.2,40.4,89.1,.454,11.4,32.1,.356,29.0,57.0,.509,15.0,19.2,.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,ORL,2019
854,Lg,18,18,15,18,12,15,11,19,16,21,30,30,12,17,13,15,12,26,6,5,2,24,ORL,2019
855,Opponent,19780,3274,7185,.456,858,2475,.347,2416,4710,.513,1336,1717,.778,739,2922,3661,1892,575,362,1064,1537,8742,ORL,2019
856,Opponent/G,241.2,39.9,87.6,.456,10.5,30.2,.347,29.5,57.4,.513,16.3,20.9,.778,9.0,35.6,44.6,23.1,7.0,4.4,13.0,18.7,106.6,ORL,2019
857,Lg,18,7,8,11,7,7,10,9,19,12,6,5,27,2,24,11,2,7,5,26,29,5,ORL,2019
858,Team,19830,3372,7082,.476,678,1945,.349,2694,5137,.524,1616,2067,.782,1071,2916,3987,1883,603,487,1305,1691,9038,OKC,2016
859,Team/G,241.8,41.1,86.4,.476,8.3,23.7,.349,32.9,62.6,.524,19.7,25.2,.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,OKC,2016
860,Lg,11,2,7,3,17,17,17,3,11,2,4,7,10,1,2,1,10,21,4,26,16,2,OKC,2016
861,Opponent,19830,3150,7192,.438,667,1949,.342,2483,5243,.474,1474,1950,.756,923,2373,3296,1767,719,373,1068,1653,8441,OKC,2016
862,Opponent/G,241.8,38.4,87.7,.438,8.1,23.8,.342,30.3,63.9,.474,18.0,23.8,.756,11.3,28.9,40.2,21.5,8.8,4.5,13.0,20.2,102.9,OKC,2016
863,Lg,11,16,27,5,12,14,8,21,28,7,18,18,16,22,1,2,10,26,11,26,15,15,OKC,2016
864,Team,19805,3237,7169,.452,692,2116,.327,2545,5053,.504,1575,2113,.745,1002,2821,3823,1721,648,408,1230,1715,8741,OKC,2017
865,Team/G,241.5,39.5,87.4,.452,8.4,25.8,.327,31.0,61.6,.504,19.2,25.8,.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,OKC,2017
866,Lg,13,11,5,17,26,18,30,7,8,13,8,4,26,1,7,1,25,14,10,24,24,11,OKC,2017
867,Opponent,19805,3215,6998,.459,724,2036,.356,2491,4962,.502,1525,1996,.764,750,2583,3333,1758,698,450,1129,1697,8679,OKC,2017
868,Opponent/G,241.5,39.2,85.3,.459,8.8,24.8,.356,30.4,60.5,.502,18.6,24.3,.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8,OKC,2017
869,Lg,13,16,13,19,4,4,14,23,23,13,21,24,6,5,4,3,7,25,28,18,5,16,OKC,2017
870,Team,19830,3271,7221,.453,881,2491,.354,2390,4730,.505,1421,1985,.716,1024,2671,3695,1750,743,412,1147,1653,8844,OKC,2018
871,Team/G,241.8,39.9,88.1,.453,10.7,30.4,.354,29.1,57.7,.505,17.3,24.2,.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,OKC,2018
