,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
922,Opponent/G,240.9,37.3,83.0,.449,9.5,26.0,.365,27.8,57.0,.488,15.8,20.5,.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8,UTA,2018
923,Lg,18,2,3,6,5,3,17,4,15,4,8,10,19,3,10,1,1,24,11,6,8,1,UTA,2018
924,Team,19755,3314,7082,.468,993,2789,.356,2321,4293,.541,1540,2092,.736,820,2981,3801,2133,663,483,1240,1728,9161,UTA,2019
925,Team/G,240.9,40.4,86.4,.468,12.1,34.0,.356,28.3,52.4,.541,18.8,25.5,.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,UTA,2019
926,Lg,24,19,29,10,9,9,10,23,28,6,8,3,26,18,5,9,8,12,3,27,18,17,UTA,2019
927,Opponent,19755,3276,7253,.452,806,2273,.355,2470,4980,.496,1372,1822,.753,733,2762,3495,1770,695,376,1136,1835,8730,UTA,2019
928,Opponent/G,240.9,40.0,88.5,.452,9.8,27.7,.355,30.1,60.7,.496,16.7,22.2,.753,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5,UTA,2019
929,Lg,24,8,11,8,2,1,15,17,27,3,7,9,2,1,6,2,1,27,9,15,4,4,UTA,2019
930,Team,19830,3093,7003,.442,656,1943,.338,2437,5060,.482,1513,1974,.766,941,2718,3659,1858,609,395,1202,1723,8355,DEN,2016
931,Team/G,241.8,37.7,85.4,.442,8.0,23.7,.338,29.7,61.7,.482,18.5,24.1,.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9,DEN,2016
932,Lg,11,21,12,21,20,18,26,15,15,21,10,10,14,6,19,8,14,20,16,18,23,20,DEN,2016
933,Opponent,19830,3182,6904,.461,754,2033,.371,2428,4871,.498,1491,1958,.761,799,2700,3499,1924,660,517,1122,1712,8609,DEN,2016
934,Opponent/G,241.8,38.8,84.2,.461,9.2,24.8,.371,29.6,59.4,.498,18.2,23.9,.761,9.7,32.9,42.7,23.5,8.0,6.3,13.7,20.9,105.0,DEN,2016
935,Lg,11,19,12,21,23,18,27,14,10,17,19,19,20,9,11,9,25,20,30,20,11,22,DEN,2016
936,Team,19755,3377,7194,.469,870,2365,.368,2507,4829,.519,1537,1986,.774,966,2837,3803,2077,568,323,1226,1567,9161,DEN,2017
937,Team/G,240.9,41.2,87.7,.469,10.6,28.8,.368,30.6,58.9,.519,18.7,24.2,.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,DEN,2017
938,Lg,25,3,4,6,7,8,11,10,14,5,9,8,17,5,6,2,2,28,27,23,9,3,DEN,2017
939,Opponent,19755,3454,7248,.477,808,2153,.375,2646,5095,.519,1403,1794,.782,770,2576,3346,1972,681,404,982,1653,9119,DEN,2017
940,Opponent/G,240.9,42.1,88.4,.477,9.9,26.3,.375,32.3,62.1,.519,17.1,21.9,.782,9.4,31.4,40.8,24.0,8.3,4.9,12.0,20.2,111.2,DEN,2017
941,Lg,25,30,25,29,16,10,28,30,29,27,9,9,26,7,3,4,25,22,15,30,13,27,DEN,2017
942,Team,19880,3338,7102,.470,940,2536,.371,2398,4566,.525,1404,1830,.767,902,2748,3650,2059,627,404,1227,1533,9020,DEN,2018
943,Team/G,242.4,40.7,86.6,.470,11.5,30.9,.371,29.2,55.7,.525,17.1,22.3,.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,DEN,2018
944,Lg,4,7,12,10,6,8,7,14,21,8,12,12,18,2,20,7,5,17,12,23,6,6,DEN,2018
945,Opponent,19880,3386,7113,.476,893,2364,.378,2493,4749,.525,1234,1671,.738,800,2613,3413,2028,654,391,1131,1699,8899,DEN,2018
946,Opponent/G,242.4,41.3,86.7,.476,10.9,28.8,.378,30.4,57.9,.525,15.0,20.4,.738,9.8,31.9,41.6,24.7,8.0,4.8,13.8,20.7,108.5,DEN,2018
947,Lg,4,26,19,30,21,10,30,25,20,24,7,8,1,14,2,2,25,20,16,22,6,22,DEN,2018
948,Team,19730,3439,7384,.466,903,2571,.351,2536,4813,.527,1294,1714,.755,972,2832,3804,2245,634,363,1102,1644,9075,DEN,2019
949,Team/G,240.6,41.9,90.0,.466,11.0,31.4,.351,30.9,58.7,.527,15.8,20.9,.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,DEN,2019
950,Lg,27,12,11,13,18,16,17,10,12,10,27,25,20,2,17,8,2,13,24,8,7,20,DEN,2019
951,Opponent,19730,3246,7084,.458,887,2618,.339,2359,4466,.528,1372,1822,.753,799,2685,3484,2016,610,407,1109,1675,8751,DEN,2019
952,Opponent/G,240.6,39.6,86.4,.458,10.8,31.9,.339,28.8,54.5,.528,16.7,22.2,.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7,DEN,2019
953,Lg,27,5,4,15,10,13,1,6,4,21,7,9,2,7,2,1,16,14,14,17,20,6,DEN,2019
954,Team,19880,3095,6668,.464,455,1347,.338,2640,5321,.496,1753,2213,.792,821,2587,3408,1916,656,375,1231,1696,8398,MIN,2016
955,Team/G,242.4,37.7,81.3,.464,5.5,16.4,.338,32.2,64.9,.496,21.4,27.0,.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4,MIN,2016
956,Lg,5,19,29,7,29,29,25,5,5,11,1,2,4,20,28,29,8,14,19,23,18,15,MIN,2016
957,Opponent,19880,3276,6962,.471,742,2089,.355,2534,4873,.520,1394,1842,.757,877,2558,3435,1857,638,427,1220,1768,8688,MIN,2016
958,Opponent/G,242.4,40.0,84.9,.471,9.0,25.5,.355,30.9,59.4,.520,17.0,22.5,.757,10.7,31.2,41.9,22.6,7.8,5.2,14.9,21.6,106.0,MIN,2016
959,Lg,5,27,16,28,21,24,17,24,11,28,12,9,18,17,3,7,20,17,17,13,7,23,MIN,2016
960,Team,19805,3235,6922,.467,601,1723,.349,2634,5199,.507,1586,1986,.799,938,2540,3478,1940,654,370,1150,1646,8657,MIN,2017
961,Team/G,241.5,39.5,84.4,.467,7.3,21.0,.349,32.1,63.4,.507,19.3,24.2,.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,MIN,2017
962,Lg,13,12,21,8,30,30,20,3,5,10,6,8,5,6,29,25,9,12,19,19,16,13,MIN,2017
963,Opponent,19805,3246,6829,.475,811,2213,.366,2435,4616,.528,1445,1881,.768,806,2508,3314,1896,629,413,1169,1681,8748,MIN,2017
964,Opponent/G,241.5,39.6,83.3,.475,9.9,27.0,.366,29.7,56.3,.528,17.6,22.9,.768,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7,MIN,2017
965,Lg,13,20,7,28,18,14,23,15,8,29,13,13,8,10,1,2,18,18,19,14,7,18,MIN,2017
966,Team,19805,3365,7063,.476,658,1845,.357,2707,5218,.519,1592,1980,.804,848,2593,3441,1861,689,345,1021,1495,8980,MIN,2018
967,Team/G,241.5,41.0,86.1,.476,8.0,22.5,.357,33.0,63.6,.519,19.4,24.1,.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,MIN,2018
968,Lg,12,4,15,4,30,30,19,1,2,10,3,5,2,7,27,24,18,6,24,2,3,8,MIN,2018
969,Opponent,19805,3298,6942,.475,890,2431,.366,2408,4511,.534,1311,1683,.779,803,2626,3429,1962,529,382,1239,1711,8797,MIN,2018
970,Opponent/G,241.5,40.2,84.7,.475,10.9,29.6,.366,29.4,55.0,.534,16.0,20.5,.779,9.8,32.0,41.8,23.9,6.5,4.7,15.1,20.9,107.3,MIN,2018
971,Lg,12,19,10,29,19,18,18,18,8,29,11,11,24,15,3,3,21,1,12,4,5,17,MIN,2018
972,Team,19830,3413,7483,.456,827,2357,.351,2586,5126,.504,1570,1995,.787,923,2750,3673,2018,683,411,1074,1664,9223,MIN,2019
973,Team/G,241.8,41.6,91.3,.456,10.1,28.7,.351,31.5,62.5,.504,19.1,24.3,.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,MIN,2019
974,Lg,11,13,5,17,23,26,20,6,3,25,4,8,10,6,25,19,15,7,17,4,10,13,MIN,2019
975,Opponent,19830,3452,7386,.467,1041,2752,.378,2411,4634,.520,1401,1827,.767,921,2822,3743,2145,539,455,1209,1795,9346,MIN,2019
976,Opponent/G,241.8,42.1,90.1,.467,12.7,33.6,.378,29.4,56.5,.520,17.1,22.3,.767,11.2,34.4,45.6,26.2,6.6,5.5,14.7,21.9,114.0,MIN,2019
977,Lg,11,22,20,23,29,24,29,8,11,16,12,11,15,26,9,17,27,1,25,11,8,23,MIN,2019
978,Team,19880,3489,7159,.487,1077,2592,.416,2412,4567,.528,1366,1790,.763,816,2972,3788,2373,689,498,1245,1701,9421,GSW,2016
979,Team/G,242.4,42.5,87.3,.487,13.1,31.6,.416,29.4,55.7,.528,16.7,21.8,.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,GSW,2016
980,Lg,5,1,3,1,1,1,1,16,26,1,22,23,16,21,1,4,1,9,2,24,19,1,GSW,2016
981,Opponent,19880,3188,7330,.435,640,1928,.332,2548,5402,.472,1523,2013,.757,937,2662,3599,1823,710,336,1185,1627,8539,GSW,2016
982,Opponent/G,242.4,38.9,89.4,.435,7.8,23.5,.332,31.1,65.9,.472,18.6,24.5,.757,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1,GSW,2016
983,Lg,5,21,29,3,6,13,2,25,29,4,22,23,17,25,9,15,16,24,3,15,19,19,GSW,2016
984,Team,19780,3532,7140,.495,982,2562,.383,2550,4578,.557,1457,1850,.788,770,2873,3643,2491,785,555,1211,1585,9503,GSW,2017
985,Team/G,241.2,43.1,87.1,.495,12.0,31.2,.383,31.1,55.8,.557,17.8,22.6,.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,GSW,2017
986,Lg,18,1,9,1,4,5,3,5,22,1,17,18,11,20,3,7,1,1,1,22,12,1,GSW,2017
987,Opponent,19780,3181,7311,.435,737,2277,.324,2444,5034,.485,1450,1905,.761,963,2604,3567,1862,705,313,1272,1588,8549,GSW,2017
988,Opponent/G,241.2,38.8,89.2,.435,9.0,27.8,.324,29.8,61.4,.485,17.7,23.2,.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3,GSW,2017
989,Lg,18,14,29,1,8,20,1,17,27,3,14,15,3,30,6,14,14,28,4,1,22,11,GSW,2017
990,Team,19730,3509,6981,.503,926,2370,.391,2583,4611,.560,1360,1668,.815,691,2877,3568,2402,656,612,1267,1607,9304,GSW,2018
991,Team/G,240.6,42.8,85.1,.503,11.3,28.9,.391,31.5,56.2,.560,16.6,20.3,.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,GSW,2018
992,Lg,23,1,24,1,8,17,1,5,20,1,18,22,1,28,7,17,1,9,1,26,15,1,GSW,2018
993,Opponent,19730,3296,7380,.447,853,2392,.357,2443,4988,.490,1369,1807,.758,893,2592,3485,1934,717,301,1175,1516,8814,GSW,2018
994,Opponent/G,240.6,40.2,90.0,.447,10.4,29.2,.357,29.8,60.8,.490,16.7,22.0,.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5,GSW,2018
995,Lg,23,18,29,3,13,13,10,22,28,6,19,19,8,30,1,8,17,30,1,14,25,18,GSW,2018
996,Team,19805,3612,7361,.491,1087,2824,.385,2525,4537,.557,1339,1672,.801,797,2990,3787,2413,625,525,1169,1757,9650,GSW,2019
997,Team/G,241.5,44.0,89.8,.491,13.3,34.4,.385,30.8,55.3,.557,16.3,20.4,.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,GSW,2019
998,Lg,15,1,13,1,3,8,3,12,22,2,23,28,5,21,3,11,1,15,1,21,22,2,GSW,2019
999,Opponent,19805,3315,7471,.444,955,2753,.347,2360,4718,.500,1535,1987,.773,886,2750,3636,1989,630,295,1105,1601,9120,GSW,2019
1000,Opponent/G,241.5,40.4,91.1,.444,11.6,33.6,.347,28.8,57.5,.500,18.7,24.2,.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2,GSW,2019
1001,Lg,15,11,24,3,17,25,11,7,20,4,24,24,23,21,5,10,12,19,1,19,27,16,GSW,2019
1002,Team,19830,3141,6759,.465,797,2190,.364,2344,4569,.513,1490,2152,.692,721,2727,3448,1873,709,460,1063,1746,8569,LAC,2016
1003,Team/G,241.8,38.3,82.4,.465,9.7,26.7,.364,28.6,55.7,.513,18.2,26.2,.692,8.8,33.3,42.0,22.8,8.6,5.6,13.0,21.3,104.5,LAC,2016
1004,Lg,11,16,25,6,8,9,6,20,25,6,11,4,29,29,17,25,11,7,10,3,24,7,LAC,2016
1005,Opponent,19830,3015,6946,.434,645,1909,.338,2370,5037,.471,1543,2055,.751,968,2861,3829,1740,583,259,1260,1842,8218,LAC,2016
1006,Opponent/G,241.8,36.8,84.7,.434,7.9,23.3,.338,28.9,61.4,.471,18.8,25.1,.751,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2,LAC,2016
1007,Lg,11,5,15,2,8,10,5,6,19,3,24,25,10,28,24,29,7,4,1,9,2,7,LAC,2016
1008,Team,19755,3242,6820,.475,841,2245,.375,2401,4575,.525,1586,2128,.745,738,2790,3528,1848,612,347,1062,1626,8911,LAC,2017
1009,Team/G,240.9,39.5,83.2,.475,10.3,27.4,.375,29.3,55.8,.525,19.3,26.0,.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,LAC,2017
1010,Lg,25,10,26,2,9,11,7,17,23,4,6,3,27,24,11,21,15,20,21,7,14,6,LAC,2017
1011,Opponent,19755,3163,6999,.452,753,2154,.350,2410,4845,.497,1480,1917,.772,837,2700,3537,1891,577,258,1084,1835,8559,LAC,2017
1012,Opponent/G,240.9,38.6,85.4,.452,9.2,26.3,.350,29.4,59.1,.497,18.0,23.4,.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4,LAC,2017
1013,Lg,25,11,14,11,9,11,8,12,14,9,16,16,17,14,13,12,17,7,1,22,1,12,LAC,2017
1014,Team,19705,3302,7004,.471,777,2196,.354,2525,4808,.525,1556,2095,.743,832,2766,3598,1832,628,373,1204,1638,8937,LAC,2018
1015,Team/G,240.3,40.3,85.4,.471,9.5,26.8,.354,30.8,58.6,.525,19.0,25.5,.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,LAC,2018
1016,Lg,27,11,21,9,22,22,23,7,12,9,4,2,26,10,16,15,22,14,18,19,18,9,LAC,2018
1017,Opponent,19705,3298,7194,.458,881,2477,.356,2417,4717,.512,1457,1864,.782,871,2706,3577,2015,699,462,1154,1803,8934,LAC,2018
1018,Opponent/G,240.3,40.2,87.7,.458,10.7,30.2,.356,29.5,57.5,.512,17.8,22.7,.782,10.6,33.0,43.6,24.6,8.5,5.6,14.1,22.0,109.0,LAC,2018
1019,Lg,27,19,23,13,18,21,9,20,18,14,21,21,25,28,13,17,24,27,29,21,2,24,LAC,2018
1020,Team,19830,3384,7178,.471,821,2118,.388,2563,5060,.507,1853,2340,.792,796,2936,3732,1970,561,385,1193,1913,9442,LAC,2019
1021,Team/G,241.8,41.3,87.5,.471,10.0,25.8,.388,31.3,61.7,.507,22.6,28.5,.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,LAC,2019
1022,Lg,11,17,24,7,25,28,2,9,6,23,1,1,8,22,8,13,18,23,22,22,28,5,LAC,2019
1023,Opponent,19830,3423,7490,.457,849,2477,.343,2574,5013,.513,1677,2159,.777,925,2826,3751,1976,677,498,1081,1969,9372,LAC,2019
1024,Opponent/G,241.8,41.7,91.3,.457,10.4,30.2,.343,31.4,61.1,.513,20.5,26.3,.777,11.3,34.5,45.7,24.1,8.3,6.1,13.2,24.0,114.3,LAC,2019
1025,Lg,11,18,25,14,6,8,5,28,28,14,28,28,24,28,11,19,11,25,30,24,1,25,LAC,2019
1026,Team,19805,3283,7083,.464,660,1839,.359,2623,5244,.500,1514,2089,.725,868,2760,3628,2009,733,368,1326,1676,8740,SAC,2016
1027,Team/G,241.5,40.0,86.4,.464,8.0,22.4,.359,32.0,64.0,.500,18.5,25.5,.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,SAC,2016
1028,Lg,19,4,6,8,19,21,10,6,8,10,9,6,26,13,14,11,4,5,20,28,15,3,SAC,2016
1029,Opponent,19805,3327,7194,.462,839,2293,.366,2488,4901,.508,1450,1902,.762,926,2765,3691,1986,722,437,1308,1800,8943,SAC,2016
1030,Opponent/G,241.5,40.6,87.7,.462,10.2,28.0,.366,30.3,59.8,.508,17.7,23.2,.762,11.3,33.7,45.0,24.2,8.8,5.3,16.0,22.0,109.1,SAC,2016
1031,Lg,19,29,28,24,30,30,23,22,16,26,16,14,21,23,17,23,26,28,19,6,4,30,SAC,2016
1032,Team,19880,3105,6734,.461,737,1960,.376,2368,4774,.496,1483,1913,.775,715,2652,3367,1844,627,324,1201,1667,8430,SAC,2017
1033,Team/G,242.4,37.9,82.1,.461,9.0,23.9,.376,28.9,58.2,.496,18.1,23.3,.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,SAC,2017
1034,Lg,4,24,28,13,18,23,5,21,18,20,14,13,16,28,25,28,16,17,26,21,18,24,SAC,2017
1035,Opponent,19880,3153,6824,.462,896,2462,.364,2257,4362,.517,1546,1988,.778,826,2689,3515,1941,694,420,1145,1646,8748,SAC,2017
1036,Opponent/G,242.4,38.5,83.2,.462,10.9,30.0,.364,27.5,53.2,.517,18.9,24.2,.778,10.1,32.8,42.9,23.7,8.5,5.1,14.0,20.1,106.7,SAC,2017
1037,Lg,4,10,6,22,29,28,19,3,2,26,23,22,22,11,10,9,24,23,21,15,14,18,SAC,2017
1038,Team,19755,3179,7063,.450,738,1967,.375,2441,5096,.479,1008,1371,.735,777,2578,3355,1768,643,340,1125,1639,8104,SAC,2018
1039,Team/G,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,SAC,2018
1040,Lg,18,21,15,22,26,28,3,12,3,29,30,30,28,19,29,28,25,11,25,9,19,30,SAC,2018
1041,Opponent,19755,3177,6759,.470,976,2586,.377,2201,4173,.527,1347,1760,.765,745,2843,3588,1939,636,389,1176,1422,8677,SAC,2018
1042,Opponent/G,240.9,38.7,82.4,.470,11.9,31.5,.377,26.8,50.9,.527,16.4,21.5,.765,9.1,34.7,43.8,23.6,7.8,4.7,14.3,17.3,105.8,SAC,2018
1043,Lg,18,10,2,25,29,28,29,2,1,26,17,17,13,7,23,20,18,17,14,12,30,14,SAC,2018
1044,Team,19730,3541,7637,.464,927,2455,.378,2614,5182,.504,1354,1865,.726,906,2819,3725,2083,679,363,1095,1751,9363,SAC,2019
1045,Team/G,240.6,43.2,93.1,.464,11.3,29.9,.378,31.9,63.2,.504,16.5,22.7,.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,SAC,2019
1046,Lg,27,4,2,15,16,20,4,4,1,26,21,19,27,9,19,14,14,10,24,7,21,9,SAC,2019
1047,Opponent,19730,3465,7430,.466,986,2837,.348,2479,4593,.540,1539,1998,.770,917,3015,3932,2024,618,420,1304,1753,9455,SAC,2019
1048,Opponent/G,240.6,42.3,90.6,.466,12.0,34.6,.348,30.2,56.0,.540,18.8,24.4,.770,11.2,36.8,48.0,24.7,7.5,5.1,15.9,21.4,115.3,SAC,2019
1049,Lg,27,25,23,20,23,29,12,19,8,27,25,25,21,25,29,30,17,16,18,2,10,26,SAC,2019
1050,Team,19705,3051,7018,.435,738,2118,.348,2313,4900,.472,1431,1905,.751,943,2733,3676,1701,632,313,1410,1858,8271,PHO,2016
1051,Team/G,240.3,37.2,85.6,.435,9.0,25.8,.348,28.2,59.8,.472,17.5,23.2,.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9,PHO,2016
1052,Lg,29,23,11,28,11,12,18,21,19,26,13,13,20,5,15,7,24,17,28,30,30,22,PHO,2016
1053,Opponent,19705,3208,6870,.467,770,2041,.377,2438,4829,.505,1631,2177,.749,813,2770,3583,1837,782,449,1224,1770,8817,PHO,2016
1054,Opponent/G,240.3,39.1,83.8,.467,9.4,24.9,.377,29.7,58.9,.505,19.9,26.5,.749,9.9,33.8,43.7,22.4,9.5,5.5,14.9,21.6,107.5,PHO,2016
1055,Lg,29,23,9,26,26,20,30,17,8,25,29,30,9,11,18,13,17,30,23,12,6,28,PHO,2016
1056,Team,19830,3270,7260,.450,615,1854,.332,2655,5406,.491,1676,2159,.776,976,2712,3688,1604,673,399,1265,2030,8831,PHO,2017
1057,Team/G,241.8,39.9,88.5,.450,7.5,22.6,.332,32.4,65.9,.491,20.4,26.3,.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,PHO,2017
1058,Lg,10,6,2,19,29,28,27,1,1,24,1,2,15,4,18,6,29,6,13,27,30,9,PHO,2017
1059,Opponent,19830,3300,7070,.467,825,2159,.382,2475,4911,.504,1868,2387,.783,840,2772,3612,1818,663,435,1222,1822,9293,PHO,2017
1060,Opponent/G,241.8,40.2,86.2,.467,10.1,26.3,.382,30.2,59.9,.504,22.8,29.1,.783,10.2,33.8,44.0,22.2,8.1,5.3,14.9,22.2,113.3,PHO,2017
1061,Lg,10,24,19,26,23,12,30,21,20,18,30,30,28,16,21,18,10,21,25,8,2,30,PHO,2017
1062,Team,19705,3153,7141,.442,763,2286,.334,2390,4855,.492,1453,1962,.741,842,2776,3618,1743,569,370,1289,1807,8522,PHO,2018
1063,Team/G,240.3,38.5,87.1,.442,9.3,27.9,.334,29.1,59.2,.492,17.7,23.9,.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,PHO,2018
1064,Lg,27,24,7,28,23,20,30,15,9,24,7,6,27,8,15,12,29,27,21,28,28,21,PHO,2018
1065,Opponent,19705,3426,7274,.471,895,2398,.373,2531,4876,.519,1543,2014,.766,855,2906,3761,1910,712,488,1099,1715,9290,PHO,2018
1066,Opponent/G,240.3,41.8,88.7,.471,10.9,29.2,.373,30.9,59.5,.519,18.8,24.6,.766,10.4,35.4,45.9,23.3,8.7,6.0,13.4,20.9,113.3,PHO,2018
1067,Lg,27,29,26,26,22,15,26,27,24,20,28,28,15,26,27,29,13,29,30,27,4,30,PHO,2018
1068,Team,19880,3289,7164,.459,790,2400,.329,2499,4764,.525,1447,1858,.779,748,2563,3311,1957,735,418,1279,1932,8815,PHO,2019
1069,Team/G,242.4,40.1,87.4,.459,9.6,29.3,.329,30.5,58.1,.525,17.6,22.7,.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,PHO,2019
1070,Lg,4,22,25,16,28,23,30,15,14,12,17,20,13,28,30,30,20,2,15,28,29,23,PHO,2019
1071,Opponent,19880,3482,7230,.482,912,2454,.372,2570,4776,.538,1705,2263,.753,971,2897,3868,2126,737,411,1285,1694,9581,PHO,2019
1072,Opponent/G,242.4,42.5,88.2,.482,11.1,29.9,.372,31.3,58.2,.538,20.8,27.6,.753,11.8,35.3,47.2,25.9,9.0,5.0,15.7,20.7,116.8,PHO,2019
1073,Lg,4,26,10,29,11,5,28,27,22,26,29,29,4,30,19,27,25,29,15,4,17,28,PHO,2019
1074,Team,19730,2880,6956,.414,639,2016,.317,2241,4940,.454,1583,2028,.781,878,2645,3523,1478,593,337,1124,1662,7982,LAL,2016
1075,Team/G,240.6,35.1,84.8,.414,7.8,24.6,.317,27.3,60.2,.454,19.3,24.7,.781,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3,LAL,2016
1076,Lg,28,30,14,30,22,13,30,27,17,30,6,8,11,11,24,21,30,23,24,11,13,30,LAL,2016
1077,Opponent,19730,3323,7023,.473,700,2016,.347,2623,5007,.524,1420,1942,.731,897,2915,3812,2022,617,458,1037,1573,8766,LAL,2016
1078,Opponent/G,240.6,40.5,85.6,.473,8.5,24.6,.347,32.0,61.1,.524,17.3,23.7,.731,10.9,35.5,46.5,24.7,7.5,5.6,12.6,19.2,106.9,LAL,2016
1079,Lg,28,28,24,29,15,17,11,30,18,29,13,16,1,20,28,27,30,11,25,28,24,27,LAL,2016
1080,Team,19705,3224,7164,.450,730,2110,.346,2494,5054,.493,1397,1853,.754,933,2636,3569,1716,674,320,1243,1698,8575,LAL,2017
1081,Team/G,240.3,39.3,87.4,.450,8.9,25.7,.346,30.4,61.6,.493,17.0,22.6,.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,LAL,2017
1082,Lg,30,13,6,21,19,19,22,11,7,22,23,17,21,7,26,17,26,5,28,26,22,17,LAL,2017
1083,Opponent,19705,3405,7053,.483,830,2245,.370,2575,4808,.536,1499,1966,.762,843,2801,3644,2110,698,440,1188,1520,9139,LAL,2017
1084,Opponent/G,240.3,41.5,86.0,.483,10.1,27.4,.370,31.4,58.6,.536,18.3,24.0,.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5,LAL,2017
1085,Lg,30,28,17,30,24,19,26,28,12,30,18,19,5,17,23,23,30,25,26,11,28,28,LAL,2017
1086,Team,19905,3338,7248,.461,822,2384,.345,2516,4864,.517,1364,1910,.714,876,2927,3803,1949,633,388,1295,1736,8862,LAL,2018
1087,Team/G,242.7,40.7,88.4,.461,10.0,29.1,.345,30.7,59.3,.517,16.6,23.3,.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,LAL,2018
1088,Lg,3,7,2,14,20,15,29,8,8,11,16,8,30,4,2,2,7,13,17,29,24,11,LAL,2018
1089,Opponent,19905,3366,7374,.456,855,2469,.346,2511,4905,.512,1402,1843,.761,840,2835,3675,1932,682,447,1170,1679,8989,LAL,2018
1090,Opponent/G,242.7,41.0,89.9,.456,10.4,30.1,.346,30.6,59.8,.512,17.1,22.5,.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6,LAL,2018
1091,Lg,3,24,28,10,14,20,3,26,25,13,20,20,10,23,22,24,16,25,26,16,9,25,LAL,2018
1092,Team,19780,3491,7425,.470,847,2541,.333,2644,4884,.541,1336,1910,.699,835,2985,3820,2096,618,440,1284,1701,9165,LAL,2019
1093,Team/G,241.2,42.6,90.5,.470,10.3,31.0,.333,32.2,59.6,.541,16.3,23.3,.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,LAL,2019
1094,Lg,18,6,8,9,20,17,29,3,10,5,24,14,29,15,4,6,11,16,8,29,13,16,LAL,2019
1095,Opponent,19780,3438,7610,.452,971,2784,.349,2467,4826,.511,1459,1862,.784,924,2918,3842,2053,683,421,1167,1706,9306,LAL,2019
1096,Opponent/G,241.2,41.9,92.8,.452,11.8,34.0,.349,30.1,58.9,.511,17.8,22.7,.784,11.3,35.6,46.9,25.0,8.3,5.1,14.2,20.8,113.5,LAL,2019
1097,Lg,18,21,28,9,20,27,13,16,24,10,17,14,28,27,23,26,21,26,20,12,15,21,LAL,2019
1098,Team,19705,3289,6797,.484,570,1518,.375,2719,5279,.515,1342,1672,.803,770,2831,3601,2010,677,485,1071,1433,8490,SAS,2016
1099,Team/G,240.3,40.1,82.9,.484,7.0,18.5,.375,33.2,64.4,.515,16.4,20.4,.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,SAS,2016
1100,Lg,29,3,24,2,25,26,2,1,7,3,25,28,2,25,5,15,3,11,6,4,1,10,SAS,2016
